;0;Unnamed: 0;Unnamed: 4;aantal;beeld;omschrijving_sluit;sluit_barcode
0;202011726_inschiet_met_rolnummer_baan_1 | 14500 etiketten;;;;;;
0;;0.0;;500.0;202011726_layout_1.pdf;Rol 0001   900810000100 | labels tbv 0810000100;8720195286349.0
1;;1.0;;500.0;202011726_layout_1.pdf;Rol 0002   900810000100 | labels tbv 0810000100;8720195286349.0
2;;2.0;;500.0;202011726_layout_1.pdf;Rol 0003   900810000100 | labels tbv 0810000100;8720195286349.0
3;;3.0;;500.0;202011726_layout_1.pdf;Rol 0004   900810000100 | labels tbv 0810000100;8720195286349.0
4;;4.0;;500.0;202011726_layout_1.pdf;Rol 0005   900810000100 | labels tbv 0810000100;8720195286349.0
5;;5.0;;500.0;202011726_layout_1.pdf;Rol 0006   900810000100 | labels tbv 0810000100;8720195286349.0
6;;6.0;;500.0;202011726_layout_1.pdf;Rol 0007   900810000100 | labels tbv 0810000100;8720195286349.0
7;;7.0;;500.0;202011726_layout_1.pdf;Rol 0008   900810000100 | labels tbv 0810000100;8720195286349.0
8;;8.0;;500.0;202011726_layout_1.pdf;Rol 0009   900810000100 | labels tbv 0810000100;8720195286349.0
9;;9.0;;500.0;202011726_layout_1.pdf;Rol 0010   900810000100 | labels tbv 0810000100;8720195286349.0
10;;10.0;;500.0;202011726_layout_1.pdf;Rol 0011   900810000100 | labels tbv 0810000100;8720195286349.0
11;;11.0;;500.0;202011726_layout_1.pdf;Rol 0012   900810000100 | labels tbv 0810000100;8720195286349.0
12;;12.0;;500.0;202011726_layout_1.pdf;Rol 0013   900810000100 | labels tbv 0810000100;8720195286349.0
13;;13.0;;500.0;202011726_layout_1.pdf;Rol 0014   900810000100 | labels tbv 0810000100;8720195286349.0
14;;14.0;;500.0;202011726_layout_2.pdf;Rol 0015   900810000200 | labels tbv 0810000200;8720195286356.0
15;;15.0;;500.0;202011726_layout_2.pdf;Rol 0016   900810000200 | labels tbv 0810000200;8720195286356.0
16;;16.0;;500.0;202011726_layout_2.pdf;Rol 0017   900810000200 | labels tbv 0810000200;8720195286356.0
