omschrijving_sluit;sluit_barcode;beeld;aantal
Rol 0001   900810000100 | labels tbv 0810000100;8720195286349;202011726_layout_1.pdf;500
Rol 0002   900810000100 | labels tbv 0810000100;8720195286349;202011726_layout_1.pdf;500
Rol 0003   900810000100 | labels tbv 0810000100;8720195286349;202011726_layout_1.pdf;500
Rol 0004   900810000100 | labels tbv 0810000100;8720195286349;202011726_layout_1.pdf;500
Rol 0005   900810000100 | labels tbv 0810000100;8720195286349;202011726_layout_1.pdf;500
Rol 0006   900810000100 | labels tbv 0810000100;8720195286349;202011726_layout_1.pdf;500
Rol 0007   900810000100 | labels tbv 0810000100;8720195286349;202011726_layout_1.pdf;500
Rol 0008   900810000100 | labels tbv 0810000100;8720195286349;202011726_layout_1.pdf;500
Rol 0009   900810000100 | labels tbv 0810000100;8720195286349;202011726_layout_1.pdf;500
Rol 0010   900810000100 | labels tbv 0810000100;8720195286349;202011726_layout_1.pdf;500
Rol 0011   900810000100 | labels tbv 0810000100;8720195286349;202011726_layout_1.pdf;500
Rol 0012   900810000100 | labels tbv 0810000100;8720195286349;202011726_layout_1.pdf;500
Rol 0013   900810000100 | labels tbv 0810000100;8720195286349;202011726_layout_1.pdf;500
Rol 0014   900810000100 | labels tbv 0810000100;8720195286349;202011726_layout_1.pdf;500
Rol 0015   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0016   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0017   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0018   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0019   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0020   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0021   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0022   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0023   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0024   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0025   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0026   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0027   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0028   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0029   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0030   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0031   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0032   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0033   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0034   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0035   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0036   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0037   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0038   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0039   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0040   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0041   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0042   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0043   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0044   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0045   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0046   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0047   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0048   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0049   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0050   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0051   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0052   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0053   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0054   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0055   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0056   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0057   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0058   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0059   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0060   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0061   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0062   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0063   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0064   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0065   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0066   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0067   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0068   900810000200 | labels tbv 0810000200;8720195286356;202011726_layout_2.pdf;500
Rol 0069   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0070   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0071   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0072   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0073   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0074   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0075   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0076   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0077   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0078   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0079   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0080   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0081   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0082   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0083   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0084   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0085   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0086   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0087   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0088   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0089   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0090   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0091   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0092   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0093   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0094   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0095   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0096   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0097   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0098   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0099   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0100   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0101   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0102   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0103   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0104   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0105   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0106   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0107   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0108   900810000300 | labels tbv 0810000300;8720195286363;202011726_layout_3.pdf;500
Rol 0109   900810000400 | labels tbv 0810000400;8720195286370;202011726_layout_4.pdf;500
Rol 0110   900810000400 | labels tbv 0810000400;8720195286370;202011726_layout_4.pdf;500
Rol 0111   900810000400 | labels tbv 0810000400;8720195286370;202011726_layout_4.pdf;500
Rol 0112   900810000400 | labels tbv 0810000400;8720195286370;202011726_layout_4.pdf;500
Rol 0113   900810000500 | labels tbv 0810000500;8720195286387;202011726_layout_5.pdf;500
Rol 0114   900810000500 | labels tbv 0810000500;8720195286387;202011726_layout_5.pdf;500
Rol 0115   900810000500 | labels tbv 0810000500;8720195286387;202011726_layout_5.pdf;500
Rol 0116   900810000500 | labels tbv 0810000500;8720195286387;202011726_layout_5.pdf;500
Rol 0117   900810000500 | labels tbv 0810000500;8720195286387;202011726_layout_5.pdf;500
Rol 0118   900810000500 | labels tbv 0810000500;8720195286387;202011726_layout_5.pdf;500
Rol 0119   900810000500 | labels tbv 0810000500;8720195286387;202011726_layout_5.pdf;500
Rol 0120   900810000500 | labels tbv 0810000500;8720195286387;202011726_layout_5.pdf;500
Rol 0121   900810000500 | labels tbv 0810000500;8720195286387;202011726_layout_5.pdf;500
Rol 0122   900810000500 | labels tbv 0810000500;8720195286387;202011726_layout_5.pdf;500
Rol 0123   900810000500 | labels tbv 0810000500;8720195286387;202011726_layout_5.pdf;500
Rol 0124   900810000500 | labels tbv 0810000500;8720195286387;202011726_layout_5.pdf;500
Rol 0125   900810000500 | labels tbv 0810000500;8720195286387;202011726_layout_5.pdf;500
Rol 0126   900810000500 | labels tbv 0810000500;8720195286387;202011726_layout_5.pdf;500
Rol 0127   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
Rol 0128   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
Rol 0129   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
Rol 0130   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
Rol 0131   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
Rol 0132   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
Rol 0133   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
Rol 0134   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
Rol 0135   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
Rol 0136   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
Rol 0137   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
Rol 0138   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
Rol 0139   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
Rol 0140   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
Rol 0141   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
Rol 0142   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
Rol 0143   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
Rol 0144   900810000600 | labels tbv 0810000600;8720195286394;202011726_layout_6.pdf;500
